id,input_query_name,accepted_scientific_name,gbif_key,gbif_url,kingdom,phylum,kelas,ordo,family,genus,nama_indonesia_api,nama_inggris_api,taxonomic_status,rank,seed_source,seed_note
rambutan,Nephelium lappaceum,Nephelium lappaceum,5421126,https://www.gbif.org/species/5421126,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Nephelium,,pulasan,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
salak,Salacca zalacca,Salacca zalacca,2731764,https://www.gbif.org/species/2731764,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Salacca,,Snakefruit,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
bakau_minyak,Rhizophora apiculata,Rhizophora apiculata,3086526,https://www.gbif.org/species/3086526,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,Bakau Minyak,mangrove,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ketapang,Terminalia catappa,Terminalia catappa,3189394,https://www.gbif.org/species/3189394,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,,India almond,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kucing,Felis catus,Felis catus,2435035,https://www.gbif.org/species/2435035,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Kucing Domestik,Domestic Cat,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
harimau,Panthera tigris,Panthera tigris,5219416,https://www.gbif.org/species/5219416,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Harimau,Tiger,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
orangutan_sumatra,Pongo abelii,Pongo abelii,5707420,https://www.gbif.org/species/5707420,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Orang Utan Sumatera,Sumatran Orangutan,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
orangutan_kalimantan,Pongo pygmaeus,Pongo pygmaeus,5219532,https://www.gbif.org/species/5219532,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Orang Utan Kalimantan,Bornean Orangutan,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
komodo,Varanus komodoensis,Varanus komodoensis,2470854,https://www.gbif.org/species/2470854,Animalia,Chordata,Squamata,,Varanidae,Varanus,Biawak Komodo,Komodo Dragon,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jalak_bali,Leucopsar rothschildi,Leucopsar rothschildi,2489068,https://www.gbif.org/species/2489068,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Leucopsar,Curik bali,Bali Myna,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
elang_jawa,Nisaetus bartelsi,Nisaetus bartelsi,5788506,https://www.gbif.org/species/5788506,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Elang jawa,Javan Hawk-eagle,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
babirusa_sulawesi,Babyrousa celebensis,Babyrousa celebensis,4262912,https://www.gbif.org/species/4262912,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Babirusa Sulawesi,Sulawesi Babirusa,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
maleo,Macrocephalon maleo,Macrocephalon maleo,2482154,https://www.gbif.org/species/2482154,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Macrocephalon,Maleo senkawor,Maleo,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
gajah_sumatra,Elephas maximus,Elephas maximus,5219461,https://www.gbif.org/species/5219461,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Gajah Asia,Asian Elephant,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
badak_jawa,Rhinoceros sondaicus,Rhinoceros sondaicus,5220112,https://www.gbif.org/species/5220112,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Badak Jawa,Javan Rhinoceros,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
badak_sumatra,Dicerorhinus sumatrensis,Dicerorhinus sumatrensis,2440878,https://www.gbif.org/species/2440878,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,,Sumatran Rhinoceros,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
bekantan,Nasalis larvatus,Nasalis larvatus,2436525,https://www.gbif.org/species/2436525,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis,Bekantan,Proboscis Monkey,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
yaki,Macaca nigra,Macaca nigra,2436616,https://www.gbif.org/species/2436616,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Yaki,Celebes Crested Macaque,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
tangkasi,Tarsius tarsier,Tarsius tarsier,4266949,https://www.gbif.org/species/4266949,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,,Spectral Tarsier,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
anoa_dataran_rendah,Bubalus depressicornis,Bubalus depressicornis,8085503,https://www.gbif.org/species/8085503,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Anoa Dataran Rendah,Lowland Anoa,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
anoa_pegunungan,Bubalus quarlesi,Bubalus quarlesi,7846959,https://www.gbif.org/species/7846959,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,,Mountain Anoa,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
babi_sulawesi,Sus celebensis,Sus celebensis,2441221,https://www.gbif.org/species/2441221,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Babi Sulawesi,Sulawesi Warty Pig,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
beruang_madu,Helarctos malayanus,Helarctos malayanus,2433403,https://www.gbif.org/species/2433403,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,Beruang Madu,Sun Bear,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
macan_dahan_sunda,Neofelis diardi,Neofelis diardi,5787229,https://www.gbif.org/species/5787229,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Harimau Dahan,Sunda Clouded Leopard,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kucing_kuwuk,Prionailurus bengalensis,Prionailurus bengalensis,2434903,https://www.gbif.org/species/2434903,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Kucing kuwuk,Mainland Leopard Cat,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ajag,Cuon alpinus,Cuon alpinus,2434317,https://www.gbif.org/species/2434317,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Ajag,Dhole,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
