id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
lengkuas,Alpinia galanga,Alpinia galanga,http://www.wikidata.org/entity/Q402971,lengkuas,Alpinia galanga,Plantae,,,Zingiberales,Zingiberaceae,Alpinia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
serai,Cymbopogon citratus,Cymbopogon citratus,http://www.wikidata.org/entity/Q33913,serai,Cymbopogon citratus,Plantae,,,Poales,Poaceae,Cymbopogon,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pandan_wangi,Pandanus amaryllifolius,Pandanus amaryllifolius,http://www.wikidata.org/entity/Q311090,pandan wangi,Pandanus amaryllifolius,Plantae,,,Pandanales,Pandanaceae,Pandanus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
belimbing,Averrhoa carambola,Averrhoa carambola,http://www.wikidata.org/entity/Q159447,Belimbing,star fruit,Plantae,,,Oxalidales,Oxalidaceae,Averrhoa,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
manggis,Garcinia mangostana,Garcinia mangostana,http://www.wikidata.org/entity/Q170662,Manggis,Garcinia mangostana,Plantae,,,Malpighiales,Clusiaceae,Garcinia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
duku,Lansium domesticum,Lansium domesticum,http://www.wikidata.org/entity/Q860731,Duku,Lansium domesticum,Plantae,,,Sapindales,Meliaceae,Lansium,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rambutan,Nephelium lappaceum,Nephelium lappaceum,http://www.wikidata.org/entity/Q476864,rambutan,Nephelium lappaceum,Plantae,,,Sapindales,Sapindaceae,Nephelium,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
salak,Salacca zalacca,Salacca zalacca,http://www.wikidata.org/entity/Q840615,salak,Salacca zalacca,Plantae,,,Arecales,Arecaceae,Salacca,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
bakau_minyak,Rhizophora apiculata,Rhizophora apiculata,http://www.wikidata.org/entity/Q920906,Bakau minyak,Rhizophora apiculata,Plantae,,,Malpighiales,Rhizophoraceae,Rhizophora,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ketapang,Terminalia catappa,Terminalia catappa,http://www.wikidata.org/entity/Q271179,Ketapang,Terminalia catappa,Plantae,,,Myrtales,Combretaceae,Terminalia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kucing,Felis catus,Felis catus,http://www.wikidata.org/entity/Q20980826,Felis catus,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
