id,image_url,image_source,description,description_source
sukun,https://commons.wikimedia.org/wiki/Special:Redirect/file/Artocarpus_altilis_%28fruit%29.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Artocarpus_altilis_%28fruit%29.jpg,"Sukun (Artocarpus altilis) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Moraceae dan genus Artocarpus. Nama Inggris yang tercatat adalah breadfruit.",Generated from validated project taxonomy fields
pinang,https://commons.wikimedia.org/wiki/Special:Redirect/file/Beetle_palm_with_nut_bunch.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Beetle_palm_with_nut_bunch.jpg,"Pinang (Areca catechu) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Arecaceae dan genus Areca. Nama Inggris yang tercatat adalah Betel Nut Palm.",Generated from validated project taxonomy fields
nipah,https://commons.wikimedia.org/wiki/Special:Redirect/file/Nipa_palms.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Nipa_palms.jpg,"Nipah (Nypa fruticans) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Arecaceae dan genus Nypa. Nama Inggris yang tercatat adalah Nypa Palm.",Generated from validated project taxonomy fields
pandan_laut,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pandanus_tectorius.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Pandanus_tectorius.jpg,"Pandan Pudak (Pandanus tectorius) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Pandanaceae dan genus Pandanus. Nama Inggris yang tercatat adalah Seashore Pandan.",Generated from validated project taxonomy fields
pulai,https://commons.wikimedia.org/wiki/Special:Redirect/file/Alstonia_scholaris_at_Sungai_Berang_valley%2C_Kampung_Gunung_20240225_164615.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Alstonia_scholaris_at_Sungai_Berang_valley%2C_Kampung_Gunung_20240225_164615.jpg,"Pulai (Alstonia scholaris) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Apocynaceae dan genus Alstonia. Nama Inggris yang tercatat adalah Blackboard Tree.",Generated from validated project taxonomy fields
kayu_putih,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cajeput_%282923282356%29.png?width=1200,https://commons.wikimedia.org/wiki/File:Cajeput_%282923282356%29.png,"gelam (Melaleuca cajuputi) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Myrtaceae dan genus Melaleuca. Nama Inggris yang tercatat adalah Cajuput.",Generated from validated project taxonomy fields
gaharu,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aquilaria_malaccensis_-_Agar_Wood%2C_Eaglewood_-_Indian_Aloewood_at_Munnar_%284%29.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Aquilaria_malaccensis_-_Agar_Wood%2C_Eaglewood_-_Indian_Aloewood_at_Munnar_%284%29.jpg,"Gaharu (Aquilaria malaccensis) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Thymelaeaceae dan genus Aquilaria. Nama Inggris yang tercatat adalah Agarwood.",Generated from validated project taxonomy fields
cemara_laut,https://commons.wikimedia.org/wiki/Special:Redirect/file/Casuarina_equesitifolia_tree.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Casuarina_equesitifolia_tree.jpg,"cemara laut (Casuarina equisetifolia) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Casuarinaceae dan genus Casuarina. Nama Inggris yang tercatat adalah Australian pine.",Generated from validated project taxonomy fields
merbau,https://commons.wikimedia.org/wiki/Special:Redirect/file/Intsia_bijuga.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Intsia_bijuga.jpg,"Merbau (Intsia bijuga) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Fabaceae dan genus Intsia. Nama Inggris yang tercatat adalah Borneo Teak.",Generated from validated project taxonomy fields
beringin,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ficus_benjamina2.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Ficus_benjamina2.jpg,"Beringin (Ficus benjamina) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Moraceae dan genus Ficus. Nama Inggris yang tercatat adalah weeping fig.",Generated from validated project taxonomy fields
jati,https://commons.wikimedia.org/wiki/Special:Redirect/file/Starr_010304-0485_Tectona_grandis.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Starr_010304-0485_Tectona_grandis.jpg,"Jati (Tectona grandis) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Lamiaceae dan genus Tectona. Nama Inggris yang tercatat adalah Teak.",Generated from validated project taxonomy fields
mahoni_daun_besar,https://commons.wikimedia.org/wiki/Special:Redirect/file/Leaves_I_IMG_8668.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Leaves_I_IMG_8668.jpg,"Mahoni (Swietenia macrophylla) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Meliaceae dan genus Swietenia. Nama Inggris yang tercatat adalah Big Leaf Mahogany.",Generated from validated project taxonomy fields
melinjo,https://commons.wikimedia.org/wiki/Special:Redirect/file/Melinjo_%28Gnetum_gnemon%29_%286863727669%29.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Melinjo_%28Gnetum_gnemon%29_%286863727669%29.jpg,"Melinjo (Gnetum gnemon) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Gnetopsida. Spesies ini tercatat pada family Gnetaceae dan genus Gnetum. Nama Inggris yang tercatat adalah buko.",Generated from validated project taxonomy fields
petai,https://commons.wikimedia.org/wiki/Special:Redirect/file/Parkia_speciosa.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Parkia_speciosa.JPG,"petai (Parkia speciosa) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Fabaceae dan genus Parkia. Nama Inggris yang tercatat adalah Stink bean.",Generated from validated project taxonomy fields
jengkol,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pithecellobium_jiringa.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Pithecellobium_jiringa.JPG,"jengkol (Archidendron pauciflorum) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Fabaceae dan genus Archidendron. Nama Inggris yang tercatat adalah Djenkol Tree.",Generated from validated project taxonomy fields
kecombrang,https://commons.wikimedia.org/wiki/Special:Redirect/file/Etlingera_elatior_dsc03700.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Etlingera_elatior_dsc03700.jpg,"Kecombrang (Etlingera elatior) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Zingiberaceae dan genus Etlingera. Nama Inggris yang tercatat adalah Torch Ginger.",Generated from validated project taxonomy fields
jahe,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ginger_Plant_vs.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Ginger_Plant_vs.jpg,"jahe (Zingiber officinale) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Zingiberaceae dan genus Zingiber. Nama Inggris yang tercatat adalah ginger.",Generated from validated project taxonomy fields
kunyit,https://commons.wikimedia.org/wiki/Special:Redirect/file/Curcuma_longa_%28Haldi%29_W_IMG_2440.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Curcuma_longa_%28Haldi%29_W_IMG_2440.jpg,"kunyit (Curcuma longa) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Zingiberaceae dan genus Curcuma. Nama Inggris yang tercatat adalah Turmeric.",Generated from validated project taxonomy fields
lengkuas,https://commons.wikimedia.org/wiki/Special:Redirect/file/Maranta_galanga_Ypey51.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Maranta_galanga_Ypey51.jpg,"lengkuas (Alpinia galanga) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Zingiberaceae dan genus Alpinia. Nama Inggris yang tercatat adalah greater galangal.",Generated from validated project taxonomy fields
serai,https://commons.wikimedia.org/wiki/Special:Redirect/file/YosriNov04Pokok_Serai.JPG?width=1200,https://commons.wikimedia.org/wiki/File:YosriNov04Pokok_Serai.JPG,"serai (Cymbopogon citratus) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Poaceae dan genus Cymbopogon. Nama Inggris yang tercatat adalah Lemon Grass.",Generated from validated project taxonomy fields
pandan_wangi,https://commons.wikimedia.org/wiki/Special:Redirect/file/Chottola.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Chottola.jpg,"pandan wangi (Pandanus amaryllifolius) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Pandanaceae dan genus Pandanus. Nama Inggris yang tercatat adalah Fragrant Pandan.",Generated from validated project taxonomy fields
belimbing,https://commons.wikimedia.org/wiki/Special:Redirect/file/Averrhoa_carambola2.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Averrhoa_carambola2.jpg,"Belimbing (Averrhoa carambola) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Oxalidaceae dan genus Averrhoa. Nama Inggris yang tercatat adalah star fruit.",Generated from validated project taxonomy fields
manggis,https://commons.wikimedia.org/wiki/Special:Redirect/file/Berthe_Hoola_van_Nooten48.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Berthe_Hoola_van_Nooten48.jpg,"Manggis (Garcinia mangostana) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Clusiaceae dan genus Garcinia. Nama Inggris yang tercatat adalah Mangosteen.",Generated from validated project taxonomy fields
