id,nama_latin,nama_indonesia,nama_inggris,kingdom,kelas,ordo,family,genus,kategori,habitat,deskripsi,sinonim_ilmiah,status_endemik,sumber_data
lengkuas,Alpinia galanga,lengkuas,Greater galangal,Plantae,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Herba rempah,Kebun tropis,jenis tanaman,Alpinia alba|Alpinia bifida|Alpinia carnea|Alpinia galanga pyramidata|Alpinia galanga galanga,Tidak endemik,GBIF: https://www.gbif.org/species/5302225; Wikidata: http://www.wikidata.org/entity/Q402971
serai,Cymbopogon citratus,serai,Lemongrass,Plantae,Liliopsida,Poales,Poaceae,Cymbopogon,Rumput rempah,Kebun dan pekarangan,jenis tanaman dimanfaatkan sebagai bumbu masakan,Andropogon cerifer|Andropogon ceriferus|Andropogon citratus|Andropogon citriodorus,Tidak endemik,GBIF: https://www.gbif.org/species/2705275; Wikidata: http://www.wikidata.org/entity/Q33913
pandan_wangi,Pandanus amaryllifolius,pandan wangi,Pandan,Plantae,Liliopsida,Pandanales,Pandanaceae,Pandanus,Herba aromatik,Kebun dan lahan basah,Tanaman yang daunnya digunakan sebagai bahan masakan,Pandanus hasskarlii|Pandanus latifolius|Pandanus latifolius minor|Pandanus odorus,Tidak endemik,GBIF: https://www.gbif.org/species/9296315; Wikidata: http://www.wikidata.org/entity/Q311090
belimbing,Averrhoa carambola,Belimbing,star fruit,Plantae,Magnoliopsida,Oxalidales,Oxalidaceae,Averrhoa,Pohon buah,Kebun tropis,Belimbing adalah entri leksikon flora Indonesia kategori Pohon buah dengan habitat utama Kebun tropis. Status endemik: Tidak endemik.,Averrhoa acutangula|Averrhoa microphylla|Averrhoa pentandra|Connaropsis philippica|Sarcotheca philippica,Tidak endemik,GBIF: https://www.gbif.org/species/2891641; Wikidata: http://www.wikidata.org/entity/Q159447
manggis,Garcinia mangostana,Manggis,Mangosteen,Plantae,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,Pohon buah,Hutan dan kebun tropis,Spesies tumbuhan,Mangostana garcinia,Tidak endemik,GBIF: https://www.gbif.org/species/3189571; Wikidata: http://www.wikidata.org/entity/Q170662
duku,Lansium domesticum,Duku,Langsat,Plantae,Magnoliopsida,Sapindales,Meliaceae,Lansium,Pohon buah,Hutan dan kebun tropis,sejenis buah-buahan di Asia Tenggara,Aglaia aquea|Aglaia domestica|Aglaia dookoo|Aglaia intricatoreticulata|Aglaia merrillii,Tidak endemik,GBIF: https://www.gbif.org/species/3190478; Wikidata: http://www.wikidata.org/entity/Q860731
rambutan,Nephelium lappaceum,rambutan,Rambutan,Plantae,Magnoliopsida,Sapindales,Sapindaceae,Nephelium,Pohon buah,Hutan dan kebun tropis,spesies tanaman tropis,Dimocarpus crinitus|Euphoria chrysea|Euphoria crinita|Euphoria glabra,Tidak endemik,GBIF: https://www.gbif.org/species/5421126; Wikidata: http://www.wikidata.org/entity/Q476864
salak,Salacca zalacca,salak,Snake fruit,Plantae,Liliopsida,Arecales,Arecaceae,Salacca,Palem buah,Kebun tropis,Salak adalah entri leksikon flora Indonesia kategori Palem buah dengan habitat utama Kebun tropis. Status endemik: Tidak endemik.,Calamus salakka|Calamus zalacca|Salacca blumeana|Salacca edulis,Tidak endemik,GBIF: https://www.gbif.org/species/2731764; Wikidata: http://www.wikidata.org/entity/Q840615
bakau_minyak,Rhizophora apiculata,Bakau minyak,Tall-stilt mangrove,Plantae,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,Mangrove,Hutan mangrove,Bakau minyak adalah entri leksikon flora Indonesia kategori Mangrove dengan habitat utama Hutan mangrove. Status endemik: Tidak endemik.,Rhizophora candelaria|Rhizophora conjugata,Tidak endemik,GBIF: https://www.gbif.org/species/3086526; Wikidata: http://www.wikidata.org/entity/Q920906
ketapang,Terminalia catappa,Ketapang,Tropical almond,Plantae,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Pohon pesisir,Pantai dan hutan pesisir,spesies tumbuhan bergenus Terminalia,Buceras catappa|Bucida buceras|Juglans catappa|Myrobalanus badamia,Tidak endemik,GBIF: https://www.gbif.org/species/3189394; Wikidata: http://www.wikidata.org/entity/Q271179
